Longitude,Latitude
-77,27
-77,27
-76.552,27.21
-76.551,26.786
-76.103,26.57
-76.102,27.419
-75.657,26.353
-75.651,27.627
-75.213,26.134
-75.198,27.833
-75,35
-74.77,25.914
-74.743,28.038
-74.552,35.265
-74.329,25.693
-74.287,28.241
-74.102,35.529
-73.889,25.47
-73.828,28.442
-73.648,35.791
-73.451,25.246
-73.368,28.642
-73.191,36.051
-73.015,25.021
-72.907,28.841
-72.732,36.309
-72.581,24.795
-72.443,29.038
-72.269,36.566
-72.148,24.567
-71.978,29.233
-71.803,36.821
-71.716,24.338
-71.511,29.427
-71.335,37.074
-71.286,24.108
-71.043,29.619
-70.862,37.325
-70.858,23.876
-70.572,29.809
-70.431,23.643
-70.388,37.574
-70.1,29.997
-70.006,23.41
-69.909,37.822
-69.626,30.184
-69.582,23.175
-69.428,38.067
-69.16,22.938
-69.15,30.369
-68.943,38.31
-68.739,22.701
-68.672,30.553
-68.455,38.551
-68.32,22.462
-68.193,30.735
-67.964,38.791
-67.902,22.223
-67.712,30.914
-67.485,21.982
-67.47,39.028
-67.229,31.093
-67.07,21.741
-66.972,39.263
-66.744,31.269
-66.656,21.498
-66.471,39.496
-66.257,31.443
-66.244,21.254
-65.967,39.727
-65.833,21.01
-65.769,31.616
-65.459,39.955
-65.423,20.764
-65.279,31.786
-65.015,20.517
-64.948,40.181
-64.787,31.955
-64.608,20.27
-64.433,40.405
-64.293,32.122
-64.202,20.021
-63.916,40.627
-63.797,32.287
-63.797,19.771
-63.394,40.846
-63.394,19.521
-63.3,32.45
-62.992,19.27
-62.87,41.063
-62.801,32.611
-62.591,19.017
-62.342,41.278
-62.3,32.77
-62.192,18.764
-61.81,41.49
-61.797,32.927
-61.793,18.51
-61.396,18.256
-61.293,33.082
-61.275,41.699
-61,18
-61,18
-61,18
-60.787,33.235
-60.736,41.906
-60.62,17.724
-60.56,18.171
-60.279,33.386
-60.241,17.446
-60.194,42.111
-60.12,18.34
-59.864,17.168
-59.769,33.535
-59.679,18.509
-59.649,42.313
-59.487,16.89
-59.258,33.681
-59.236,18.677
-59.112,16.61
-59.1,42.512
-58.794,18.843
-58.744,33.826
-58.737,16.331
-58.547,42.709
-58.364,16.05
-58.35,19.009
-58.23,33.968
-57.992,42.903
-57.992,15.768
-57.905,19.173
-57.713,34.108
-57.621,15.486
-57.459,19.336
-57.432,43.094
-57.251,15.204
-57.195,34.246
-57.013,19.498
-56.881,14.921
-56.869,43.282
-56.675,34.382
-56.565,19.66
-56.513,14.637
-56.303,43.468
-56.153,34.516
-56.146,14.352
-56.117,19.82
-55.779,14.067
-55.733,43.651
-55.668,19.979
-55.63,34.647
-55.414,13.782
-55.218,20.136
-55.16,43.831
-55.105,34.776
-55.05,13.496
-54.767,20.293
-54.686,13.209
-54.583,44.008
-54.578,34.903
-54.323,12.922
-54.315,20.448
-54.05,35.028
-54.003,44.182
-53.961,12.634
-53.862,20.602
-53.6,12.346
-53.52,35.15
-53.42,44.354
-53.408,20.756
-53.239,12.057
-52.989,35.27
-52.954,20.907
-52.88,11.768
-52.833,44.522
-52.521,11.479
-52.498,21.058
-52.456,35.388
-52.243,44.687
-52.163,11.189
-52.042,21.207
-51.922,35.503
-51.805,10.898
-51.649,44.849
-51.584,21.356
-51.449,10.607
-51.386,35.616
-51.126,21.503
-51.093,10.316
-51.052,45.008
-50.848,35.726
-50.737,10.024
-50.667,21.648
-50.452,45.164
-50.382,9.7323
-50.309,35.834
-50.207,21.793
-50.028,9.4398
-50,-37
-50,-37
-49.849,45.317
-49.769,35.94
-49.745,21.936
-49.697,-36.615
-49.675,9.147
-49.465,-37.14
-49.397,-36.23
-49.322,8.8538
-49.284,22.078
-49.242,45.467
-49.227,36.043
-49.099,-35.844
-48.969,8.5603
-48.928,-37.278
-48.821,22.218
-48.805,-35.457
-48.684,36.144
-48.633,45.613
-48.617,8.2665
-48.514,-35.07
-48.389,-37.413
-48.357,22.357
-48.266,7.9723
-48.225,-34.681
-48.139,36.242
-48.02,45.756
-47.939,-34.292
-47.915,7.6779
-47.892,22.495
-47.847,-37.546
-47.655,-33.903
-47.593,36.338
-47.565,7.3831
-47.426,22.632
-47.404,45.896
-47.374,-33.512
-47.304,-37.677
-47.215,7.0881
-47.096,-33.121
-47.046,36.432
-46.96,22.767
-46.865,6.7928
-46.82,-32.73
-46.785,46.032
-46.76,-37.804
-46.546,-32.337
-46.517,6.4973
-46.498,36.522
-46.492,22.901
-46.275,-31.945
-46.213,-37.93
-46.168,6.2015
-46.162,46.165
-46.024,23.033
-46.006,-31.551
-45.948,36.611
-45.826,5.902
-45.74,-31.157
-45.664,-38.053
-45.555,23.164
-45.537,46.295
-45.478,5.6058
-45.475,-30.762
-45.397,36.696
-45.213,-30.367
-45.131,5.3093
-45.114,-38.173
-45.085,23.294
-44.953,-29.971
-44.909,46.421
-44.845,36.78
-44.783,5.0127
-44.695,-29.575
-44.614,23.422
-44.562,-38.29
-44.439,-29.178
-44.437,4.7158
-44.291,36.86
-44.279,46.543
-44.184,-28.781
-44.142,23.549
-44.09,4.4188
-44.008,-38.405
-43.932,-28.383
-43.744,4.1216
-43.737,36.938
-43.682,-27.985
-43.669,23.674
-43.645,46.663
-43.452,-38.518
-43.433,-27.586
-43.398,3.8243
-43.195,23.798
-43.187,-27.187
-43.184,37.02
-43.052,3.5268
-43.012,46.782
-42.942,-26.787
-42.895,-38.627
-42.72,23.92
-42.706,3.2292
-42.699,-26.387
-42.628,37.093
-42.457,-25.986
